id,value
Antioquia. Café tostado- sin descafeinar- molido.República Dominicana,0
Antioquia. Café tostado- sin descafeinar- molido.San Vicente y las Granadinas,0
Antioquia. Café tostado- sin descafeinar- molido.Santa Lucia,0
Antioquia. Café tostado- sin descafeinar- molido.Singapur,5
Antioquia. Café tostado- sin descafeinar- molido.Suecia,9
Antioquia. Café tostado- sin descafeinar- molido.Surinam,3
Antioquia. Café tostado- sin descafeinar- molido.Venezuela,0
Antioquia. Café tostado- sin descafeinar- molido.ZFP Barranquilla,0
Antioquia. Café tostado- sin descafeinar- molido.ZFP Bogotá,0
Antioquia. Café tostado- sin descafeinar- molido.ZFP Cartagena,4
Antioquia. Café tostado- sin descafeinar- molido.ZFP Cucuta,1
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción",9
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Canadá",0
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Curazao",0
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Estados Unidos",4
"Antioquia. Cáscara y cascarilla de café, sucedáneos del café que contengan café en cualquier proporción.Países Bajos",4
Antioquia. Extractos- esencias y concentrados de café,4116
Antioquia. Extractos- esencias y concentrados de café.Alemania,449
Antioquia. Extractos- esencias y concentrados de café.Antigua y Barbuda,1
Antioquia. Extractos- esencias y concentrados de café.Antillas Holandesas,18
Antioquia. Extractos- esencias y concentrados de café.Aruba,11
Antioquia. Extractos- esencias y concentrados de café.Australia,93
Antioquia. Extractos- esencias y concentrados de café.Barbados,3
Antioquia. Extractos- esencias y concentrados de café.Bélgica,63
Antioquia. Extractos- esencias y concentrados de café.Bolivia,5
Antioquia. Extractos- esencias y concentrados de café.Canadá,33
Antioquia. Extractos- esencias y concentrados de café.Chile,9
Antioquia. Extractos- esencias y concentrados de café.China,15
Antioquia. Extractos- esencias y concentrados de café.Corea,19
Antioquia. Extractos- esencias y concentrados de café.Costa de Marfil,2
Antioquia. Extractos- esencias y concentrados de café.Costa Rica,0
Antioquia. Extractos- esencias y concentrados de café.Cuba,1
Antioquia. Extractos- esencias y concentrados de café.Dinamarca,16
Antioquia. Extractos- esencias y concentrados de café.Dominica,3
Antioquia. Extractos- esencias y concentrados de café.Ecuador,304
Antioquia. Extractos- esencias y concentrados de café.España,22
Antioquia. Extractos- esencias y concentrados de café.Estados Unidos,1555
Antioquia. Extractos- esencias y concentrados de café.Francia,130
Antioquia. Extractos- esencias y concentrados de café.Granada,2
Antioquia. Extractos- esencias y concentrados de café.Guyana,2
Antioquia. Extractos- esencias y concentrados de café.Hong Kong,10
Antioquia. Extractos- esencias y concentrados de café.Italia,28
Antioquia. Extractos- esencias y concentrados de café.Japón,643
Antioquia. Extractos- esencias y concentrados de café.Kuwait,2
Antioquia. Extractos- esencias y concentrados de café.Malasia,47
Antioquia. Extractos- esencias y concentrados de café.México,11
Antioquia. Extractos- esencias y concentrados de café.Panamá,5
Antioquia. Extractos- esencias y concentrados de café.Perú,4
Antioquia. Extractos- esencias y concentrados de café.Puerto Rico,30
Antioquia. Extractos- esencias y concentrados de café.Reino Unido,326
Antioquia. Extractos- esencias y concentrados de café.San Vicente y las Granadinas,0
Antioquia. Extractos- esencias y concentrados de café.Santa Lucia,1
Antioquia. Extractos- esencias y concentrados de café.Singapur,32
Antioquia. Extractos- esencias y concentrados de café.Suecia,12
Antioquia. Extractos- esencias y concentrados de café.Suiza,1
Antioquia. Extractos- esencias y concentrados de café.Surinam,17
Antioquia. Extractos- esencias y concentrados de café.Trinidad y Tobago,17
Antioquia. Extractos- esencias y concentrados de café.Turquía,23
Antioquia. Extractos- esencias y concentrados de café.Venezuela,146
Antioquia. Extractos- esencias y concentrados de café.ZFP Cucuta,3
Antioquia. Los demás cafés sin tostar- sin descafeinar,471465
Antioquia. Los demás cafés sin tostar- sin descafeinar.Alemania,54226
Antioquia. Los demás cafés sin tostar- sin descafeinar.Arabia Saudita,65
Antioquia. Los demás cafés sin tostar- sin descafeinar.Argentina,514
Antioquia. Los demás cafés sin tostar- sin descafeinar.Australia,4044
Antioquia. Los demás cafés sin tostar- sin descafeinar.Austria,21
Antioquia. Los demás cafés sin tostar- sin descafeinar.Bélgica,43268
Antioquia. Los demás cafés sin tostar- sin descafeinar.Bulgaria,63
Antioquia. Los demás cafés sin tostar- sin descafeinar.Canadá,68526
Antioquia. Los demás cafés sin tostar- sin descafeinar.Chile,1195
Antioquia. Los demás cafés sin tostar- sin descafeinar.China,2295
Antioquia. Los demás cafés sin tostar- sin descafeinar.Corea,18250
Antioquia. Los demás cafés sin tostar- sin descafeinar.Croacia,1
Antioquia. Los demás cafés sin tostar- sin descafeinar.Dinamarca,2374
Antioquia. Los demás cafés sin tostar- sin descafeinar.Egipto,77
Antioquia. Los demás cafés sin tostar- sin descafeinar.Emiratos Árabes Unidos,105
Antioquia. Los demás cafés sin tostar- sin descafeinar.Eslovenia,2953
Antioquia. Los demás cafés sin tostar- sin descafeinar.España,16619
Antioquia. Los demás cafés sin tostar- sin descafeinar.Estados Unidos,79371
Antioquia. Los demás cafés sin tostar- sin descafeinar.Estonia,92
Antioquia. Los demás cafés sin tostar- sin descafeinar.Filipinas,8
Antioquia. Los demás cafés sin tostar- sin descafeinar.Finlandia,9860
Antioquia. Los demás cafés sin tostar- sin descafeinar.Francia,12082
Antioquia. Los demás cafés sin tostar- sin descafeinar.Georgia,38
Antioquia. Los demás cafés sin tostar- sin descafeinar.Gibraltar,28
Antioquia. Los demás cafés sin tostar- sin descafeinar.Grecia,562
Antioquia. Los demás cafés sin tostar- sin descafeinar.Hong Kong,251
Antioquia. Los demás cafés sin tostar- sin descafeinar.India,5
Antioquia. Los demás cafés sin tostar- sin descafeinar.Indonesia,38
Antioquia. Los demás cafés sin tostar- sin descafeinar.Irán- República Islámica de,8
Antioquia. Los demás cafés sin tostar- sin descafeinar.Irlanda,516
Antioquia. Los demás cafés sin tostar- sin descafeinar.Islandia,174
Antioquia. Los demás cafés sin tostar- sin descafeinar.Israel,4538
Antioquia. Los demás cafés sin tostar- sin descafeinar.Italia,22112
Antioquia. Los demás cafés sin tostar- sin descafeinar.Japón,43393
Antioquia. Los demás cafés sin tostar- sin descafeinar.Jordania,408
Antioquia. Los demás cafés sin tostar- sin descafeinar.Letonia,204
Antioquia. Los demás cafés sin tostar- sin descafeinar.Líbano,212
Antioquia. Los demás cafés sin tostar- sin descafeinar.Libia,20
Antioquia. Los demás cafés sin tostar- sin descafeinar.Lituania,19
Antioquia. Los demás cafés sin tostar- sin descafeinar.Macao,19
Antioquia. Los demás cafés sin tostar- sin descafeinar.Malasia,3460
Antioquia. Los demás cafés sin tostar- sin descafeinar.Marruecos,502
Antioquia. Los demás cafés sin tostar- sin descafeinar.México,889
Antioquia. Los demás cafés sin tostar- sin descafeinar.Norfolk- Islas,327
Antioquia. Los demás cafés sin tostar- sin descafeinar.Noruega,7724
Antioquia. Los demás cafés sin tostar- sin descafeinar.Nueva Zelandia,802
Antioquia. Los demás cafés sin tostar- sin descafeinar.Países Bajos,8385
Antioquia. Los demás cafés sin tostar- sin descafeinar.Polonia,1090
Antioquia. Los demás cafés sin tostar- sin descafeinar.Portugal,1078
Antioquia. Los demás cafés sin tostar- sin descafeinar.Reino Unido,37598
Antioquia. Los demás cafés sin tostar- sin descafeinar.República Checa,168
Antioquia. Los demás cafés sin tostar- sin descafeinar.República Dominicana,596
Antioquia. Los demás cafés sin tostar- sin descafeinar.Rumania,683
Antioquia. Los demás cafés sin tostar- sin descafeinar.Rusia- Federación de,2376
